"signup_month","cohort_size","month_0","month_1","month_2","month_3","month_4","month_5","month_6"
2024-01-01,81,90.12,92.59,83.95,70.37,66.67,51.85,24.69
2024-02-01,139,83.45,92.09,84.17,74.10,66.19,50.36,35.25
2024-03-01,134,88.06,93.28,88.06,74.63,63.43,51.49,33.58
2024-04-01,170,86.47,90.00,84.12,77.65,67.06,41.76,35.29
2024-05-01,178,85.39,91.57,85.39,72.47,62.36,43.26,30.34
2024-06-01,187,89.84,93.58,87.17,74.33,68.98,46.52,38.50
2024-07-01,185,89.19,89.19,87.57,80.54,61.62,44.86,33.51
2024-08-01,191,82.72,86.39,86.39,72.77,63.87,47.12,36.13
2024-09-01,171,88.30,89.47,78.95,74.85,59.06,42.11,36.84
2024-10-01,183,86.89,87.98,86.89,71.04,57.92,53.01,28.96
2024-11-01,147,82.31,91.84,86.39,65.99,68.03,47.62,34.01
2024-12-01,218,81.65,84.86,79.82,72.94,55.96,50.00,32.57
2025-01-01,216,82.87,82.87,82.41,72.69,53.70,37.96,31.94
2025-02-01,202,76.73,87.13,79.21,68.81,50.99,38.61,27.72
2025-03-01,235,82.13,82.98,82.55,66.81,52.77,35.32,30.64
2025-04-01,232,86.21,87.07,82.76,66.81,49.14,37.07,28.45
2025-05-01,237,82.70,85.65,72.15,65.40,50.63,33.76,25.32
2025-06-01,225,76.44,82.22,66.67,62.67,34.67,27.11,29.33
2025-07-01,221,81.00,73.30,61.54,42.53,35.29,35.75,
2025-08-01,265,79.25,68.30,57.74,41.13,53.21,,
2025-09-01,231,78.79,60.61,47.19,54.55,,,
2025-10-01,263,76.43,59.32,55.13,,,,
2025-11-01,240,69.58,67.08,,,,,
2025-12-01,449,60.36,,,,,,
