"signup_month","signups","activated_users","activation_rate","retained_30d_users","retention_30d_rate"
2024-01-01,81,43,0.5309,25,0.3086
2024-02-01,139,73,0.5252,43,0.3094
2024-03-01,134,75,0.5597,38,0.2836
2024-04-01,170,96,0.5647,44,0.2588
2024-05-01,178,89,0.5000,44,0.2472
2024-06-01,187,103,0.5508,49,0.2620
2024-07-01,185,108,0.5838,47,0.2541
2024-08-01,191,93,0.4869,45,0.2356
2024-09-01,171,89,0.5205,36,0.2105
2024-10-01,183,104,0.5683,41,0.2240
2024-11-01,147,74,0.5034,51,0.3469
2024-12-01,218,104,0.4771,51,0.2339
2025-01-01,216,107,0.4954,47,0.2176
2025-02-01,202,96,0.4752,55,0.2723
2025-03-01,235,114,0.4851,63,0.2681
2025-04-01,232,110,0.4741,55,0.2371
2025-05-01,237,107,0.4515,54,0.2278
2025-06-01,225,85,0.3778,56,0.2489
2025-07-01,221,86,0.3891,54,0.2443
2025-08-01,265,98,0.3698,68,0.2566
2025-09-01,231,79,0.3420,59,0.2554
2025-10-01,263,95,0.3612,72,0.2738
2025-11-01,240,74,0.3083,52,0.2167
2025-12-01,449,64,0.1425,0,0.0000
